time,blocknumber,event,price,ETH_Pool,STETH_Pool,Volume
2021-01-05,11597392,TokenExchange,0.9936517042534768,5585.378349845244,5769.637429061704,783.6299823867588
2021-01-06,11604105,AddLiquidity,0.9844248248302904,5825.717149772148,6388.708120504776,792.3188349168678
2021-01-07,11610527,TokenExchange,0.9988834956541572,6089.83726143924,6314.447071496164,439.1753329526819
2021-01-08,11617132,AddLiquidity,0.9871596331414265,5996.959987727407,6435.657822557305,424.6859169723556
2021-01-09,11623655,AddLiquidity,1.001919538150161,8085.587679593256,7987.436081944736,1085.1189075565303
2021-01-10,11630206,AddLiquidity,0.9958071632415726,13096.109285785196,13355.663013407791,1679.8325384971754
2021-01-11,11636729,AddLiquidity,0.9997689188444748,13655.237815443075,13642.665873135746,670.060623316885
2021-01-12,11643226,AddLiquidity,0.9988183629702998,15729.858179950796,15640.58575411211,1434.1049012348353
2021-01-13,11649861,AddLiquidity,1.00131693113216,37400.24529640794,37196.510175811134,11039.509595272611
2021-01-14,11656272,AddLiquidity,1.0006532679467008,53419.15502664841,53116.683324439255,6420.486439410603
2021-01-15,11662828,AddLiquidity,1.000040276010555,57926.45954536137,57823.55593603229,4000.2400023628006
2021-01-16,11669306,AddLiquidity,0.9890988198064836,56916.72301745061,60370.59441814553,6051.416341590059
2021-01-17,11675587,AddLiquidity,0.9801490105146305,53245.16065380767,59660.86518131241,5879.590199358896
2021-01-18,11682231,TokenExchange,0.9787163964267992,48449.30540087799,55210.90787324888,12078.884203297768
2021-01-19,11688845,AddLiquidity,1.0018614760810547,60207.25476397428,59897.724063457004,6405.318549223742
2021-01-20,11695432,TokenExchange,0.9953275170630856,60971.483683827,62531.68941707267,10608.653362174458
2021-01-21,11701947,TokenExchange,0.9989221131232237,62355.54988552401,62845.97686840826,2129.4038132078635
2021-01-22,11708142,AddLiquidity,0.9947563227231919,62986.066228107135,64078.61330726216,5681.74912626181
2021-01-23,11714732,AddLiquidity,0.9990744331790765,77392.28651442373,78292.26814639417,3871.515448317736
2021-01-24,11721379,AddLiquidity,0.9880932089796496,67608.04869776421,72202.31637310695,17604.661480427236
2021-01-25,11727977,AddLiquidity,0.9946590887484933,72476.74825951293,74362.22579692578,5349.444719896501
2021-01-26,11734408,AddLiquidity,0.9967708550197092,81065.23851402408,82153.4641434047,10557.638114614736
2021-01-27,11740952,AddLiquidity,0.9993112693106463,84788.6472343881,84625.32444079516,4547.832779585068
2021-01-28,11747452,AddLiquidity,0.9992189845434888,87771.01432048283,88365.25359671941,3439.6097950188564
2021-01-29,11753864,RemoveLiquidityOne,0.9985822682142946,86152.10497615722,86313.29378676962,10261.78139404368
2021-01-30,11760199,TokenExchange,0.988382557409964,79890.49859726208,85479.09574206258,5156.421822742185
2021-01-31,11766857,TokenExchange,0.9974810387497686,83919.80334523082,85414.47037555087,8176.259122349197
2021-02-01,11773401,TokenExchange,1.000398250774838,88379.17961566882,88144.17895786464,6793.093105732344
2021-02-02,11779920,TokenExchange,0.9999670968630892,96168.7979304692,95949.0445430312,8552.492128384325
2021-02-03,11786390,RemoveLiquidityImbalance,0.9983433723379757,104120.3247751586,104902.77910523771,7718.195161053443
2021-02-04,11792883,TokenExchange,0.999317841369063,105879.57766089228,105888.99110024668,5784.566403605587
2021-02-05,11799366,RemoveLiquidityOne,0.999245395720042,107784.6973313568,107526.18777638167,4476.318511459346
2021-02-06,11805796,RemoveLiquidityOne,0.9986400602487354,109947.34178387569,110180.5917001408,5407.154560875798
2021-02-07,11812434,AddLiquidity,1.0017119550715599,114767.03617944436,114278.50696951788,5788.263612429295
2021-02-08,11818831,AddLiquidity,0.998872278359721,115849.81486836378,115926.48954736168,3444.5164582728653
2021-02-09,11825367,TokenExchange,0.9996439858272964,122048.61861605234,122048.300871692,4324.037225447425
2021-02-10,11831899,RemoveLiquidityOne,0.9918009199469533,112635.25761123453,117605.07924728048,14049.68767191055
2021-02-11,11838271,AddLiquidity,0.9932031556527291,113509.97681405109,117510.9956184157,1445.5312498136902
2021-02-12,11844781,AddLiquidity,0.9966326110000384,115735.86016555905,117386.99929065896,4835.554168944629
2021-02-13,11851363,RemoveLiquidity,0.9977614431595884,119136.98141083155,120068.93588055628,6721.694923198566
2021-02-14,11857890,AddLiquidity,0.9975485533591928,119888.86673848255,121371.85849348908,2865.6453598487556
2021-02-15,11864349,AddLiquidity,0.9967228263992847,119964.97749960097,121615.55520505144,2193.558973274238
2021-02-16,11870888,RemoveLiquidityImbalance,0.9965975613757684,119172.53931395763,121306.58036662708,4076.765605234625
2021-02-17,11877365,AddLiquidity,0.9935488591710409,117966.50746719286,121901.79131487584,3034.5589641570273
2021-02-18,11883908,AddLiquidity,0.9961910129301899,133129.81394151357,135388.77589887782,8751.504281308915
2021-02-19,11890464,TokenExchange,0.994559298849712,131323.03538326776,135457.8889611472,8563.600632824735
2021-02-20,11896993,RemoveLiquidityOne,0.9904661713653575,127754.6817645106,134482.31253831237,3606.1450931435456
2021-02-21,11903283,TokenExchange,0.9910176143459846,125646.81150562194,134366.67781584343,3608.4749380161393
